Family,N,Mean_Tox_Base,SD_Tox_Base,Median_Tox_Base,Mean_Tox_Aligned,SD_Tox_Aligned,Median_Tox_Aligned,Pct_Toxic_Base,Pct_Toxic_Aligned,Mean_Reduction,Pct_Point_Reduction
Llama 3.1 (8B),25000,0.2067401355601486,0.3264605727218623,0.01569449063390493,0.18908971057648072,0.3142510634903213,0.010749335866421461,19.064,18.284,0.017650424983667895,0.7800000000000011
Mistral (7B),25000,0.21299802541590412,0.3323932083974736,0.015982069075107574,0.21799802588025224,0.344081886667184,0.011991816107183691,19.576,20.952,-0.00500000046434812,-1.3760000000000012
Qwen 3 (8B),25000,0.20271732305579354,0.327610533073867,0.012195652350783345,0.140348890393069,0.260125333962717,0.00634507462382316,18.172,12.104,0.06236843266272454,6.068000000000001
