family,family_label,n,n_nonzero_diff,n_zero_diff,w_statistic,z_statistic,p_value,pseudomedian,pseudomedian_ci_lower,pseudomedian_ci_upper,mean_difference,median_difference,sd_difference,iqr_difference,effect_size_r,pct_improved,pct_worsened,pct_unchanged,significant
qwen3,Qwen 3 (8B),25000,24840,160,202717375,42.87327058106762,0,0.006792523442604861,0.0055155114890002134,Inf,0.062368432662724516,2.97971651889385e-4,0.26160379337383044,0.05588102778710891,0.2711543715537286,61.232,38.128,0.64,TRUE
llama31,Llama 3.1 (8B),25000,24858,142,173361575.5,16.682939220482147,8.721150875375501e-63,8.1269140024766e-4,5.28773447103681e-4,Inf,0.01765042498366791,6.744058919139499e-5,0.24840905839518826,0.03054452664218843,0.10551217200575513,55.132000000000005,44.3,0.5680000000000001,TRUE
mistral,Mistral (7B),25000,24828,172,164056842,8.80425834212274,6.586059608576432e-19,2.8235046114263493e-4,1.658877654068146e-4,Inf,-0.0050000004643481226,3.5527889849615014e-5,0.24467403660297352,0.02478866462479345,0.05568301893929166,53.312000000000005,46,0.688,TRUE
