family,family_label,n,cell_a,cell_b,cell_c,cell_d,discordant_pairs,chi_squared,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,arr,arr_se,arr_ci_lower,arr_ci_upper,base_toxic_rate,aligned_toxic_rate,alignment_success_rate,alignment_failure_rate,significant
qwen3,Qwen 3 (8B),25000,19455,2519,1002,2024,3521,653.5896052257881,1.0358563076482446e-148,2.513972055888224,2.335571836041365,2.707599608696236,0.06068,0.0023640656837064485,0.05596,0.06544,0.18172,0.12104,0.5544794188861986,0.04898078897199003,TRUE
llama31,Llama 3.1 (8B),25000,18730,1699,1504,3067,3203,11.871682797377458,6.062081606356077e-4,1.1296542553191489,1.0533011543365045,1.2116329229389458,0.0078,0.0022836820777674283,0.0032790000000000002,0.01204,0.19064,0.18284,0.35648342425514057,0.07433033507956904,TRUE
mistral,Mistral (7B),25000,18347,1415,1759,3479,3174,37.28292375551355,1.1011400269148187e-9,0.8044343376918703,0.7495263048460744,0.8632475798429098,-0.01376,0.002264051042614053,-0.018201000000000002,-0.00924,0.19576,0.20952,0.2891295463833265,0.08748632249079877,TRUE
